Treinamento iniciado em 2025-05-22 12:54:41.406918
Episódio 156: Recompensa=18.60, Passos=8, Epsilon=0.206
Episódio 157: Recompensa=18.40, Passos=9, Epsilon=0.204
Episódio 158: Recompensa=18.40, Passos=9, Epsilon=0.202
Episódio 159: Recompensa=17.60, Passos=13, Epsilon=0.200
Episódio 160: Recompensa=18.20, Passos=10, Epsilon=0.198
Episódio 161: Recompensa=18.40, Passos=9, Epsilon=0.196
Episódio 162: Recompensa=18.40, Passos=9, Epsilon=0.194
Episódio 163: Recompensa=17.80, Passos=12, Epsilon=0.192
Episódio 164: Recompensa=18.60, Passos=8, Epsilon=0.190
Episódio 165: Recompensa=17.60, Passos=13, Epsilon=0.189
Episódio 166: Recompensa=18.60, Passos=8, Epsilon=0.187
Episódio 167: Recompensa=18.40, Passos=9, Epsilon=0.185
Episódio 168: Recompensa=8.00, Passos=12, Epsilon=0.183
Episódio 169: Recompensa=18.60, Passos=8, Epsilon=0.181
Episódio 170: Recompensa=18.60, Passos=8, Epsilon=0.179
Episódio 171: Recompensa=17.80, Passos=12, Epsilon=0.178
Episódio 172: Recompensa=18.00, Passos=11, Epsilon=0.176
Episódio 173: Recompensa=18.00, Passos=11, Epsilon=0.174
Episódio 174: Recompensa=18.60, Passos=8, Epsilon=0.172
Episódio 175: Recompensa=18.60, Passos=8, Epsilon=0.171
Episódio 176: Recompensa=18.40, Passos=9, Epsilon=0.169
Episódio 177: Recompensa=18.60, Passos=8, Epsilon=0.167
Episódio 178: Recompensa=18.20, Passos=10, Epsilon=0.165
Episódio 179: Recompensa=18.60, Passos=8, Epsilon=0.164
Episódio 180: Recompensa=18.20, Passos=10, Epsilon=0.162
Episódio 181: Recompensa=8.20, Passos=11, Epsilon=0.161
Episódio 182: Recompensa=18.60, Passos=8, Epsilon=0.159
Episódio 183: Recompensa=18.60, Passos=8, Epsilon=0.157
Episódio 184: Recompensa=18.40, Passos=9, Epsilon=0.156
Episódio 185: Recompensa=8.40, Passos=10, Epsilon=0.154
Episódio 186: Recompensa=18.60, Passos=8, Epsilon=0.153
Episódio 187: Recompensa=17.80, Passos=12, Epsilon=0.151
Episódio 188: Recompensa=18.40, Passos=9, Epsilon=0.150
Episódio 189: Recompensa=18.00, Passos=11, Epsilon=0.148
Episódio 190: Recompensa=18.60, Passos=8, Epsilon=0.147
Episódio 191: Recompensa=18.60, Passos=8, Epsilon=0.145
Episódio 192: Recompensa=18.20, Passos=10, Epsilon=0.144
Episódio 193: Recompensa=18.40, Passos=9, Epsilon=0.142
Episódio 194: Recompensa=18.00, Passos=11, Epsilon=0.141
Episódio 195: Recompensa=18.00, Passos=11, Epsilon=0.139
Episódio 196: Recompensa=17.80, Passos=12, Epsilon=0.138
Episódio 197: Recompensa=16.60, Passos=18, Epsilon=0.137
Episódio 198: Recompensa=18.40, Passos=9, Epsilon=0.135
Episódio 199: Recompensa=18.20, Passos=10, Epsilon=0.134
Episódio 200: Recompensa=18.20, Passos=10, Epsilon=0.133
Episódio 201: Recompensa=17.80, Passos=12, Epsilon=0.131
Episódio 202: Recompensa=18.40, Passos=9, Epsilon=0.130
Episódio 203: Recompensa=18.60, Passos=8, Epsilon=0.129
Episódio 204: Recompensa=18.60, Passos=8, Epsilon=0.127
Episódio 205: Recompensa=18.60, Passos=8, Epsilon=0.126
Episódio 206: Recompensa=17.80, Passos=12, Epsilon=0.125
Episódio 207: Recompensa=18.20, Passos=10, Epsilon=0.124
Episódio 208: Recompensa=8.60, Passos=9, Epsilon=0.122
Episódio 209: Recompensa=18.20, Passos=10, Epsilon=0.121
Episódio 210: Recompensa=18.20, Passos=10, Epsilon=0.120
Episódio 211: Recompensa=18.60, Passos=8, Epsilon=0.119
Episódio 212: Recompensa=18.60, Passos=8, Epsilon=0.118
Episódio 213: Recompensa=18.40, Passos=9, Epsilon=0.116
Episódio 214: Recompensa=18.60, Passos=8, Epsilon=0.115
Episódio 215: Recompensa=17.80, Passos=12, Epsilon=0.114
Episódio 216: Recompensa=18.40, Passos=9, Epsilon=0.113
Episódio 217: Recompensa=18.40, Passos=9, Epsilon=0.112
Episódio 218: Recompensa=18.20, Passos=10, Epsilon=0.111
Episódio 219: Recompensa=18.40, Passos=9, Epsilon=0.110
Episódio 220: Recompensa=18.60, Passos=8, Epsilon=0.108
Episódio 221: Recompensa=18.60, Passos=8, Epsilon=0.107
Episódio 222: Recompensa=18.60, Passos=8, Epsilon=0.106
Episódio 223: Recompensa=17.80, Passos=12, Epsilon=0.105
Episódio 224: Recompensa=18.20, Passos=10, Epsilon=0.104
Episódio 225: Recompensa=18.60, Passos=8, Epsilon=0.103
Episódio 226: Recompensa=18.60, Passos=8, Epsilon=0.102
